// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 14 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d
// command took 2s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d
// command took 3,29s and exited with 0
// ***** Done, took 00:00:05 (5.47 sec)   *****
// Found 14 benchmarks:
//   ArrayAccessMethods.ForCacheArray: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForCacheArray2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.For: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.For2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForEach: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForEach2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAggregate: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAggregate2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqSum: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqSum2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAll: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAll2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAny: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAny2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ArrayAccessMethods.ForCacheArray: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForCacheArray" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-CECUFN(Jit=RyuJit, Platform=X64, Server=True)

IQR = 3.9752 ms, LowerFence = 432.7084 ms, UpperFence = 448.6092 ms
ConfidenceInterval = [438.1800 ms; 444.7000 ms] (CI 99.9%), Margin = 3.2600 ms (0.74% of Mean)
Skewness = 0.73, Kurtosis = 2.64, MValue = 2
-------------------- Histogram --------------------
[436.978 ms ; 449.086 ms) | @@@@@@@@@@@@@@
---------------------------------------------------

ArrayAccessMethods.LinqAggregate2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 712.9551 ms, StdErr = 2.4595 ms (0.34%); N = 15, StdDev = 9.5257 ms
Min = 701.7479 ms, Q1 = 704.5098 ms, Median = 711.5104 ms, Q3 = 720.5666 ms, Max = 733.1933 ms
IQR = 16.0568 ms, LowerFence = 680.4246 ms, UpperFence = 744.6518 ms
ConfidenceInterval = [702.7716 ms; 723.1387 ms] (CI 99.9%), Margin = 10.1836 ms (1.43% of Mean)
Skewness = 0.5, Kurtosis = 1.95, MValue = 2
-------------------- Histogram --------------------
[698.368 ms ; 713.845 ms) | @@@@@@@@@
[713.845 ms ; 736.573 ms) | @@@@@@
---------------------------------------------------

ArrayAccessMethods.LinqSum: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 522.2897 ms, StdErr = 0.2393 ms (0.05%); N = 13, StdDev = 0.8627 ms
Min = 521.0737 ms, Q1 = 521.6384 ms, Median = 522.2182 ms, Q3 = 522.9014 ms, Max = 524.1828 ms
IQR = 1.2630 ms, LowerFence = 519.7439 ms, UpperFence = 524.7959 ms
ConfidenceInterval = [521.2566 ms; 523.3229 ms] (CI 99.9%), Margin = 1.0331 ms (0.20% of Mean)
Skewness = 0.45, Kurtosis = 2.51, MValue = 2
-------------------- Histogram --------------------
[520.753 ms ; 524.504 ms) | @@@@@@@@@@@@@
---------------------------------------------------

ArrayAccessMethods.LinqSum2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 775.3693 ms, StdErr = 0.5130 ms (0.07%); N = 13, StdDev = 1.8497 ms
Min = 772.0607 ms, Q1 = 773.8317 ms, Median = 775.9846 ms, Q3 = 776.8219 ms, Max = 778.2351 ms
IQR = 2.9903 ms, LowerFence = 769.3463 ms, UpperFence = 781.3073 ms
ConfidenceInterval = [773.1542 ms; 777.5843 ms] (CI 99.9%), Margin = 2.2150 ms (0.29% of Mean)
Skewness = -0.18, Kurtosis = 1.58, MValue = 2
-------------------- Histogram --------------------
[771.372 ms ; 778.923 ms) | @@@@@@@@@@@@@
---------------------------------------------------

ArrayAccessMethods.LinqAll: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 534.3325 ms, StdErr = 0.9618 ms (0.18%); N = 15, StdDev = 3.7249 ms
Min = 529.5138 ms, Q1 = 531.0133 ms, Median = 533.3323 ms, Q3 = 537.8437 ms, Max = 540.3807 ms
IQR = 6.8304 ms, LowerFence = 520.7677 ms, UpperFence = 548.0893 ms
ConfidenceInterval = [530.3503 ms; 538.3147 ms] (CI 99.9%), Margin = 3.9822 ms (0.75% of Mean)
Skewness = 0.36, Kurtosis = 1.53, MValue = 2
-------------------- Histogram --------------------
[528.192 ms ; 541.702 ms) | @@@@@@@@@@@@@@@
---------------------------------------------------

ArrayAccessMethods.LinqAll2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 781.7517 ms, StdErr = 1.9123 ms (0.24%); N = 15, StdDev = 7.4061 ms
Min = 771.8662 ms, Q1 = 773.4735 ms, Median = 782.5995 ms, Q3 = 785.5299 ms, Max = 796.8931 ms
IQR = 12.0564 ms, LowerFence = 755.3889 ms, UpperFence = 803.6145 ms
ConfidenceInterval = [773.8341 ms; 789.6694 ms] (CI 99.9%), Margin = 7.9176 ms (1.01% of Mean)
Skewness = 0.31, Kurtosis = 2.03, MValue = 2
-------------------- Histogram --------------------
[769.239 ms ; 799.521 ms) | @@@@@@@@@@@@@@@
---------------------------------------------------

ArrayAccessMethods.LinqAny: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 535.8558 ms, StdErr = 0.2817 ms (0.05%); N = 13, StdDev = 1.0157 ms
Min = 533.8701 ms, Q1 = 535.3595 ms, Median = 535.8826 ms, Q3 = 536.5930 ms, Max = 537.5854 ms
IQR = 1.2335 ms, LowerFence = 533.5093 ms, UpperFence = 538.4431 ms
ConfidenceInterval = [534.6395 ms; 537.0721 ms] (CI 99.9%), Margin = 1.2163 ms (0.23% of Mean)
Skewness = -0.34, Kurtosis = 2.35, MValue = 2
-------------------- Histogram --------------------
[533.492 ms ; 537.963 ms) | @@@@@@@@@@@@@
---------------------------------------------------

ArrayAccessMethods.LinqAny2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 793.0906 ms, StdErr = 0.7635 ms (0.10%); N = 15, StdDev = 2.9571 ms
Min = 790.0881 ms, Q1 = 790.8196 ms, Median = 791.8036 ms, Q3 = 794.7068 ms, Max = 800.4328 ms
IQR = 3.8872 ms, LowerFence = 784.9888 ms, UpperFence = 800.5376 ms
ConfidenceInterval = [789.9292 ms; 796.2519 ms] (CI 99.9%), Margin = 3.1614 ms (0.40% of Mean)
Skewness = 1.09, Kurtosis = 3.22, MValue = 2
-------------------- Histogram --------------------
[789.039 ms ; 801.482 ms) | @@@@@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.17134.706 (1803/April2018Update/Redstone4)
Intel Core i7-5820K CPU 3.30GHz (Broadwell), 1 CPU, 12 logical and 6 physical cores
.NET Core SDK=2.2.105
  [Host]     : .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
  Job-XKPPES : .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT

Jit=RyuJit  Platform=X64  Server=True  

|         Method |      Mean |      Error |    StdDev | Ratio | RatioSD |
|--------------- |----------:|-----------:|----------:|------:|--------:|
|  ForCacheArray |  27.37 ms |  0.1346 ms | 0.1259 ms |  1.00 |    0.00 |
| ForCacheArray2 |  44.89 ms |  0.0532 ms | 0.0445 ms |  1.64 |    0.01 |
|            For |  41.00 ms |  0.2408 ms | 0.2252 ms |  1.50 |    0.01 |
|           For2 |  86.09 ms |  1.1998 ms | 1.1223 ms |  3.15 |    0.04 |
|        ForEach |  27.89 ms |  0.1514 ms | 0.1342 ms |  1.02 |    0.01 |
|       ForEach2 | 233.78 ms |  0.5385 ms | 0.4773 ms |  8.55 |    0.04 |
|  LinqAggregate | 441.44 ms |  3.2600 ms | 2.8899 ms | 16.14 |    0.12 |
| LinqAggregate2 | 712.96 ms | 10.1836 ms | 9.5257 ms | 26.05 |    0.40 |
|        LinqSum | 522.29 ms |  1.0331 ms | 0.8627 ms | 19.10 |    0.08 |
|       LinqSum2 | 775.37 ms |  2.2150 ms | 1.8497 ms | 28.36 |    0.11 |
|        LinqAll | 534.33 ms |  3.9822 ms | 3.7249 ms | 19.53 |    0.14 |
|       LinqAll2 | 781.75 ms |  7.9176 ms | 7.4061 ms | 28.57 |    0.27 |
|        LinqAny | 535.86 ms |  1.2163 ms | 1.0157 ms | 19.60 |    0.08 |
|       LinqAny2 | 793.09 ms |  3.1614 ms | 2.9571 ms | 28.98 |    0.16 |

// * Hints *
Outliers
  ArrayAccessMethods.ForCacheArray2: Jit=RyuJit, Platform=X64, Server=True -> 2 outliers were removed (45.22 ms, 45.30 ms)
  ArrayAccessMethods.ForEach: Jit=RyuJit, Platform=X64, Server=True        -> 1 outlier  was  removed (28.29 ms)
  ArrayAccessMethods.ForEach2: Jit=RyuJit, Platform=X64, Server=True       -> 1 outlier  was  removed (236.35 ms)
  ArrayAccessMethods.LinqAggregate: Jit=RyuJit, Platform=X64, Server=True  -> 1 outlier  was  removed (452.81 ms)
  ArrayAccessMethods.LinqSum: Jit=RyuJit, Platform=X64, Server=True        -> 2 outliers were removed (525.00 ms, 526.37 ms)
  ArrayAccessMethods.LinqSum2: Jit=RyuJit, Platform=X64, Server=True       -> 2 outliers were removed (786.01 ms, 793.02 ms)
  ArrayAccessMethods.LinqAny: Jit=RyuJit, Platform=X64, Server=True        -> 2 outliers were removed (540.76 ms, 541.69 ms)

// * Legends *
  Mean    : Arithmetic mean of all measurements
  Error   : Half of 99.9% confidence interval
  StdDev  : Standard deviation of all measurements
  Ratio   : Mean of the ratio distribution ([Current]/[Baseline])
  RatioSD : Standard deviation of the ratio distribution ([Current]/[Baseline])
  1 ms    : 1 Millisecond (0.001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:03:51 (231.42 sec), executed benchmarks: 14

Global total time: 00:03:56 (236.91 sec), executed benchmarks: 14
// * Artifacts cleanup *
